Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,190,56134,2687
,,,,,,,,191,52617,2521
,,,,,,,,192,48533,2326
,,,,,,,,193,44298,2110
,,,,,,,,194,43208,2064
,,,,,,,,195,43098,2064
,,,,,,,,196,43632,2097
,,,,,,,,197,45193,2178
,,,,,,,,198,49358,2385
,,,,,,,,199,57478,2815
,,,,,,,,200,59609,2900
,,,,,,,,201,58735,2835
,,,,,,,,202,58636,2801
,,,,,,,,203,59319,2831
,,,,,,,,204,59525,2827
,,,,,,,,205,59855,2838
,,,,,,,,206,59706,2825
,,,,,,,,207,59467,2815
,,,,,,,,208,60599,2878
,,,,,,,,209,63022,3008
,,,,,,,,210,67142,3219
,,,,,,,,211,67411,3216
,,,,,,,,212,63499,3008
,,,,,,,,213,61233,2898
,,,,,,,,214,58195,2745
,,,,,,,,215,54249,2563
,,,,,,,,216,51187,2428
,,,,,,,,217,49577,2370
,,,,,,,,218,48666,2338
,,,,,,,,219,48564,2340
,,,,,,,,220,49137,2375
,,,,,,,,221,50874,2465
,,,,,,,,222,55423,2692
,,,,,,,,223,64613,3184
,,,,,,,,224,66780,3265
,,,,,,,,225,64519,3125
,,,,,,,,226,62948,3013
,,,,,,,,227,62457,2984
,,,,,,,,228,61511,2919
,,,,,,,,229,60829,2880
,,,,,,,,230,60062,2835
,,,,,,,,231,59760,2820
,,,,,,,,232,61127,2894
,,,,,,,,233,63456,3021
,,,,,,,,234,67430,3225
,,,,,,,,235,68637,3263
,,,,,,,,236,64931,3063
,,,,,,,,237,62947,2965
,,,,,,,,238,59832,2807
,,,,,,,,239,55783,2619
,,,,,,,,240,52662,2484
,,,,,,,,241,50429,2382
,,,,,,,,242,49835,2364
,,,,,,,,243,49925,2372
,,,,,,,,244,50904,2427
,,,,,,,,245,52853,2527
,,,,,,,,246,57711,2766
,,,,,,,,247,65920,3191
,,,,,,,,248,67636,3256
,,,,,,,,249,63810,3049
,,,,,,,,250,59942,2836
,,,,,,,,251,57644,2729
,,,,,,,,252,55774,2630
,,,,,,,,253,54500,2567
,,,,,,,,254,53634,2525
,,,,,,,,255,53392,2518
,,,,,,,,256,54733,2593
,,,,,,,,257,56959,2715
,,,,,,,,258,60295,2888
,,,,,,,,259,62054,2954
,,,,,,,,260,59011,2786
,,,,,,,,261,57799,2723
,,,,,,,,262,55807,2622
,,,,,,,,263,52779,2483
,,,,,,,,264,49964,2360
,,,,,,,,265,50137,2420
,,,,,,,,266,50480,2450
,,,,,,,,267,51305,2499
,,,,,,,,268,53138,2600
